idates,imonths,iyears,obs,meanmod,stdmod,pvar1,pvar2,pvar3,pvar4,pvar5,pvar6,pvar7,pvar8,pvar9,pvar10,pvar11,pvar12,pvar13,pvar14,pvar15,pvar16,pvar17,pvar18,pvar19,pvar20,pvar21,pvar22,pvar23,pvar24,pvar25,pvar26,pvar27,pvar28,pvar29,pvar30
2007,1,6,0.0,0.0,0.0,291.7207947,0.0,-0.782453537,-0.4908733368,0.0,4.15e-08,-8.05e-06,1.12e-05,121506.625,57666.75391,15075.08984,101735.0625,2.63e-05,0.0001597484807,0.004110471811,13.1155653,222.626976,222.6202927,219.4575348,267.0216675,287.9048157,18.88610077,15.76051807,-1.342468858,0.03263537213,-0.07118483633,0.04494154453,24.18777657,3.949473143,0.5710525513
2007,1,7,0.0,0.0,0.0,291.9021912,0.0,-0.7123737335,-0.4147688448,0.0,-2.72e-05,-3.05e-06,9.21e-06,121000.9609,57448.43359,15000.84863,101656.0625,1.23e-05,0.0004354355915,0.004793992266,0.0,249.75634,249.75634,220.5111847,266.1968079,286.8943176,26.23505211,16.27649689,0.3565165102,0.06868708134,0.06559880823,-0.04693360999,10.85612965,-3.764291048,0.2429027557
2007,1,8,0.0,0.0,0.0,291.9223938,0.0,-0.6672992706,0.08028730005,0.0,-7.3e-06,1.56e-05,8.96e-06,121203.6016,57624.26953,15034.52344,101695.5078,1.71e-05,0.0003133399587,0.004918331746,0.0,250.498558,250.4982376,218.1333771,268.6405334,286.5987549,24.44805717,9.800148964,0.3709430695,0.01035523415,0.1135009527,-0.03410430625,0.1994711608,-6.309412479,-0.1315867156
2007,1,9,0.0,0.0,0.0,292.204071,0.0,-0.481174469,-0.05540339276,0.0,-4.31e-05,1.63e-07,2.41e-05,121499.7891,57812.69141,15101.23438,101758.875,1.94e-05,0.0002620344749,0.004789616447,0.0,256.9240036,256.9250793,218.3409576,268.4364014,287.2912292,25.76629829,8.085278511,0.2042681426,0.05732631683,0.1004680395,0.003990530968,-3.734797716,-2.256973982,-0.4940280914
2007,1,10,0.0,0.0,0.0,292.9358215,0.0,-0.3963686526,-0.3928947449,0.0,6.41e-06,-1.22e-05,2.05e-05,121383.75,57775.57422,15098.81543,101726.625,3.25e-05,0.0003909854277,0.004281217698,1.346715331,250.3197784,250.319664,216.7172699,266.801178,288.2102356,33.29312897,12.67334747,0.7491067052,0.06208534911,0.05677747726,-0.03868448734,-1.539388657,-0.9435367584,-0.2722034454
2007,1,11,0.0,0.0,0.0,293.3229675,0.0,-0.293322891,-0.4187558591,0.0,6.87e-06,-2.86e-06,4.02e-06,121243.2891,57647.56641,14997.17188,101592.7891,3.39e-05,0.0003048086073,0.004857090767,14.09899426,258.106842,258.107048,217.1652222,267.0014343,287.8712463,35.20479202,15.09099102,1.341216445,0.05937520787,0.05294001102,0.008057554252,-2.645447493,-2.062892914,-0.6343650818
2007,1,12,0.0,0.0,0.0,293.0724487,0.0,-0.4279924929,-0.0128218336,0.0,-4.61e-06,-6.19e-06,1.62e-05,121139.8516,57621.95703,15029.64844,101613.2891,2.78e-05,0.0002651219838,0.00562290987,35.39187241,293.5173111,293.5203781,217.6933594,266.9246216,287.9120483,39.88225174,16.71585083,1.762266755,0.06901216507,0.07002210617,-0.02681549452,-2.216397047,0.2700335085,-1.133347869
2007,1,13,0.0,0.0,0.0,294.1948547,0.0,-0.06195831299,0.01766459085,0.0,-1.06e-05,1.7e-05,2.43e-06,120964.0,57495.28516,14985.95215,101542.8047,3.12e-05,0.0002381553786,0.006296504289,1.119104981,336.907196,336.9043808,217.4709015,266.45755,288.0766296,42.79751205,19.96972466,2.76625061,0.1759911031,0.1951774359,0.2028450966,-17.18863678,-1.360143661,-2.120842695
2007,1,14,0.0,0.0,0.0,293.919342,0.0,0.2713559568,0.1172955856,0.0,-8.71e-06,1.06e-05,-2.73e-06,121156.2734,57297.76563,14953.81738,101505.5234,3.43e-05,0.0002666396613,0.007253447548,52.1270752,399.2424774,399.2365265,218.2922211,265.664093,287.8236389,37.88212204,22.82890129,3.380715132,0.03120315075,0.1348572969,0.2991901636,-15.19512939,-1.196546555,-0.5534293056
2007,1,15,0.0,0.0,0.0,294.3667297,0.0,0.1312084198,0.2111282349,0.0,-6.89e-06,-3.67e-06,4.29e-06,121302.8516,57193.87891,14900.7373,101424.6641,2.67e-05,0.0002917837992,0.007034938317,75.98190308,417.9415741,417.9383698,219.4063873,266.7668762,288.3123779,34.80584717,22.69160271,3.024825335,-0.01304797363,0.1463272572,0.1575448066,-2.315263748,-4.070610046,-0.1956310272
