idates,imonths,iyears,obs,meanmod,stdmod
2,1,2007,0.0,0.0,0.0
3,1,2007,0.0,0.0,0.0
4,1,2007,0.0,0.0,0.0
5,1,2007,0.0,0.0,0.0
6,1,2007,0.0,0.0,0.0
7,1,2007,0.0,0.0,0.0
8,1,2007,0.0,0.0,0.0
9,1,2007,0.0,0.0,0.0
10,1,2007,0.0,0.0,0.0
11,1,2007,0.0,0.0,0.0
12,1,2007,0.0,0.0,0.0
13,1,2007,0.0,0.0,0.0
14,1,2007,0.0,0.0,0.0
15,1,2007,0.0,0.0,0.0
16,1,2007,0.0,0.0,0.0
17,1,2007,0.0,0.0,0.01
18,1,2007,0.0,0.0,0.0
19,1,2007,0.0,0.0,0.0
20,1,2007,0.0,0.0,0.0
21,1,2007,0.0,0.0,0.0
22,1,2007,0.0,0.0,0.0
23,1,2007,0.0,0.0,0.0
24,1,2007,0.0,0.0,0.0
25,1,2007,0.0,0.0,0.0
26,1,2007,0.0,0.0,0.0
27,1,2007,0.0,0.0,0.0
28,1,2007,0.0,0.0,0.0
29,1,2007,0.0,0.0,0.0
30,1,2007,0.0,0.0,0.0
31,1,2007,0.0,0.0,0.0
1,2,2007,0.0,0.0,0.0
2,2,2007,0.0,0.0,0.0
3,2,2007,0.0,0.0,0.0
4,2,2007,0.0,0.06,0.09
5,2,2007,0.0,0.0,0.0
6,2,2007,0.0,0.0,0.0
7,2,2007,0.0,0.0,0.0
8,2,2007,0.0,0.0,0.0
9,2,2007,0.0,0.0,0.03
10,2,2007,0.0,0.07,0.12
11,2,2007,0.0,0.0,0.0
12,2,2007,0.0,2.03,1.35
13,2,2007,0.0,8.13,2.93
14,2,2007,0.0,0.01,0.05
15,2,2007,0.0,0.0,0.0
16,2,2007,0.0,0.0,0.01
17,2,2007,0.0,0.04,0.08
18,2,2007,0.0,0.0,0.0
19,2,2007,0.0,0.0,0.0
20,2,2007,0.0,0.0,0.0
21,2,2007,0.0,0.0,0.0
22,2,2007,0.0,0.0,0.0
23,2,2007,0.0,0.0,0.0
24,2,2007,0.0,0.0,0.0
25,2,2007,0.0,0.0,0.02
26,2,2007,0.0,0.0,0.0
27,2,2007,0.0,0.0,0.0
28,2,2007,0.0,0.0,0.0
1,3,2007,2.27,0.13,0.13
2,3,2007,0.0,0.0,0.0
3,3,2007,0.0,0.0,0.0
4,3,2007,0.0,0.0,0.0
5,3,2007,0.0,0.0,0.0
6,3,2007,0.0,0.0,0.0
7,3,2007,0.0,0.0,0.0
8,3,2007,0.0,0.1,0.38
9,3,2007,0.0,3.16,1.99
10,3,2007,0.1,2.96,1.72
11,3,2007,0.0,1.35,1.08
12,3,2007,0.58,2.83,1.49
13,3,2007,0.86,1.05,0.61
14,3,2007,0.22,0.12,0.3
15,3,2007,0.0,0.07,0.14
16,3,2007,0.0,0.0,0.0
17,3,2007,0.0,0.0,0.0
18,3,2007,0.0,0.0,0.0
19,3,2007,0.0,0.0,0.0
20,3,2007,0.0,0.0,0.0
21,3,2007,0.0,0.0,0.01
22,3,2007,0.0,0.39,0.23
23,3,2007,0.0,0.0,0.0
24,3,2007,0.0,0.03,0.09
25,3,2007,0.0,0.0,0.0
26,3,2007,0.0,0.0,0.0
27,3,2007,0.0,0.0,0.0
28,3,2007,0.0,0.0,0.0
29,3,2007,0.0,0.0,0.0
30,3,2007,0.0,0.0,0.0
31,3,2007,0.0,0.0,0.0
1,4,2007,0.0,0.0,0.0
2,4,2007,0.0,0.0,0.0
3,4,2007,0.0,0.0,0.01
4,4,2007,0.0,0.1,0.22
5,4,2007,0.0,0.01,0.04
6,4,2007,0.0,0.02,0.06
7,4,2007,0.0,0.16,0.22
8,4,2007,0.0,0.93,0.5
9,4,2007,0.0,1.93,0.76
10,4,2007,0.0,0.87,0.6
11,4,2007,0.0,0.67,0.47
12,4,2007,0.0,0.75,0.39
13,4,2007,0.0,0.67,0.36
14,4,2007,0.0,1.81,0.79
15,4,2007,0.0,1.52,0.85
16,4,2007,0.0,1.68,1.17
17,4,2007,0.0,2.89,0.93
18,4,2007,0.0,4.63,2.07
19,4,2007,0.0,4.3,1.72
20,4,2007,0.0,4.28,1.07
21,4,2007,0.0,1.91,0.63
22,4,2007,0.0,0.57,0.26
23,4,2007,0.0,0.05,0.07
24,4,2007,0.0,0.0,0.0
25,4,2007,0.0,0.0,0.0
26,4,2007,0.0,0.0,0.0
27,4,2007,0.0,0.12,0.13
28,4,2007,0.0,0.01,0.04
29,4,2007,0.0,0.2,0.19
30,4,2007,0.0,2.33,0.87
1,5,2007,1.75,2.26,1.84
2,5,2007,0.0,3.4,1.16
3,5,2007,0.0,6.16,1.4
4,5,2007,0.0,2.15,1.32
5,5,2007,26.14,1.61,1.08
6,5,2007,0.0,1.41,0.86
7,5,2007,0.0,2.92,1.93
8,5,2007,0.0,1.72,0.7
9,5,2007,0.45,0.65,0.45
10,5,2007,0.0,0.45,0.35
