idates,imonths,iyears,obs,meanmod,stdmod
1,1,2007,0.0,0.0,0.0
2,1,2007,0.0,0.0,0.0
3,1,2007,0.0,0.0,0.0
4,1,2007,0.0,0.0,0.0
5,1,2007,0.0,0.0,0.0
6,1,2007,0.0,0.0,0.0
7,1,2007,0.0,0.0,0.0
8,1,2007,0.0,0.0,0.0
9,1,2007,0.0,0.0,0.0
10,1,2007,0.0,0.0,0.0
11,1,2007,0.0,0.0,0.0
12,1,2007,0.0,0.0,0.0
13,1,2007,0.0,0.0,0.0
14,1,2007,0.0,0.0,0.0
15,1,2007,0.0,0.0,0.0
16,1,2007,0.0,0.0,0.0
17,1,2007,0.0,0.0,0.0
18,1,2007,0.0,0.0,0.0
19,1,2007,0.0,0.0,0.0
20,1,2007,0.0,0.0,0.0
21,1,2007,0.0,0.0,0.0
22,1,2007,0.0,0.0,0.0
23,1,2007,0.0,0.0,0.0
24,1,2007,0.0,0.0,0.0
25,1,2007,0.0,0.0,0.0
26,1,2007,0.0,0.0,0.0
27,1,2007,0.0,0.0,0.0
28,1,2007,0.0,0.0,0.0
29,1,2007,0.0,0.0,0.0
30,1,2007,0.0,0.0,0.0
31,1,2007,0.0,0.0,0.0
1,2,2007,0.0,0.0,0.0
2,2,2007,0.0,0.0,0.0
3,2,2007,0.0,0.0,0.0
4,2,2007,0.0,0.02,0.02
5,2,2007,0.0,0.0,0.0
6,2,2007,0.0,0.0,0.0
7,2,2007,0.0,0.09,0.1
8,2,2007,0.0,0.0,0.0
9,2,2007,0.0,0.04,0.04
10,2,2007,0.0,0.0,0.0
11,2,2007,0.0,0.0,0.0
12,2,2007,0.0,1.52,0.8
13,2,2007,0.0,5.6,1.32
14,2,2007,0.0,1.46,0.23
15,2,2007,0.0,0.0,0.0
16,2,2007,0.0,0.01,0.01
17,2,2007,0.0,0.0,0.0
18,2,2007,0.0,0.0,0.0
19,2,2007,0.0,0.0,0.0
20,2,2007,0.0,0.0,0.0
21,2,2007,0.0,0.0,0.0
22,2,2007,0.0,0.0,0.0
23,2,2007,0.0,0.0,0.0
24,2,2007,0.0,0.0,0.0
25,2,2007,0.0,0.0,0.0
26,2,2007,0.0,0.0,0.0
27,2,2007,0.0,0.0,0.0
28,2,2007,0.0,0.0,0.0
1,3,2007,2.27,0.0,0.0
2,3,2007,0.0,0.0,0.0
3,3,2007,0.0,0.0,0.0
4,3,2007,0.0,0.0,0.0
5,3,2007,0.0,0.0,0.0
6,3,2007,0.0,0.0,0.0
7,3,2007,0.0,0.0,0.0
8,3,2007,0.0,0.25,0.27
9,3,2007,0.0,0.5,0.24
10,3,2007,0.1,0.21,0.07
11,3,2007,0.0,0.16,0.19
12,3,2007,0.58,3.57,1.02
13,3,2007,0.86,0.54,0.27
14,3,2007,0.22,0.04,0.12
15,3,2007,0.0,0.05,0.07
16,3,2007,0.0,0.0,0.0
17,3,2007,0.0,0.0,0.0
18,3,2007,0.0,0.0,0.0
19,3,2007,0.0,0.0,0.0
20,3,2007,0.0,0.0,0.0
21,3,2007,0.0,0.01,0.03
22,3,2007,0.0,0.63,0.31
23,3,2007,0.0,0.07,0.09
24,3,2007,0.0,0.39,0.19
25,3,2007,0.0,0.0,0.0
26,3,2007,0.0,0.0,0.0
27,3,2007,0.0,0.0,0.0
28,3,2007,0.0,0.0,0.0
29,3,2007,0.0,0.0,0.0
30,3,2007,0.0,0.0,0.0
31,3,2007,0.0,0.0,0.0
