obs,meanmod,stdmod,datetime
0.0,0.0,0.0,2007-01-01
0.0,0.0,0.0,2007-02-01
0.0,0.0,0.0,2007-03-01
0.0,0.0,0.0,2007-04-01
0.0,0.0,0.0,2007-05-01
0.0,0.0,0.0,2007-06-01
0.0,0.0,0.0,2007-07-01
0.0,0.0,0.0,2007-08-01
0.0,0.0,0.0,2007-09-01
0.0,0.0,0.0,2007-10-01
0.0,0.0,0.0,2007-11-01
0.0,0.0,0.0,2007-12-01
0.0,0.0,0.0,2007-01-13
0.0,0.0,0.0,2007-01-14
0.0,0.0,0.0,2007-01-15
0.0,0.0,0.0,2007-01-16
0.0,0.0,0.0,2007-01-17
0.0,0.0,0.0,2007-01-18
0.0,0.0,0.0,2007-01-19
0.0,0.0,0.0,2007-01-20
0.0,0.0,0.0,2007-01-21
0.0,0.0,0.0,2007-01-22
0.0,0.0,0.0,2007-01-23
0.0,0.0,0.0,2007-01-24
0.0,0.0,0.0,2007-01-25
0.0,0.0,0.0,2007-01-26
0.0,0.0,0.0,2007-01-27
0.0,0.0,0.0,2007-01-28
0.0,0.0,0.0,2007-01-29
0.0,0.0,0.0,2007-01-30
0.0,0.0,0.0,2007-01-31
0.0,0.0,0.0,2007-01-02
0.0,0.0,0.0,2007-02-02
0.0,0.0,0.0,2007-03-02
0.0,0.02,0.02,2007-04-02
0.0,0.0,0.0,2007-05-02
0.0,0.0,0.0,2007-06-02
0.0,0.09,0.1,2007-07-02
0.0,0.0,0.0,2007-08-02
0.0,0.04,0.04,2007-09-02
0.0,0.0,0.0,2007-10-02
0.0,0.0,0.0,2007-11-02
0.0,1.52,0.8,2007-12-02
0.0,5.6,1.32,2007-02-13
0.0,1.46,0.23,2007-02-14
0.0,0.0,0.0,2007-02-15
0.0,0.01,0.01,2007-02-16
0.0,0.0,0.0,2007-02-17
0.0,0.0,0.0,2007-02-18
0.0,0.0,0.0,2007-02-19
0.0,0.0,0.0,2007-02-20
0.0,0.0,0.0,2007-02-21
0.0,0.0,0.0,2007-02-22
0.0,0.0,0.0,2007-02-23
0.0,0.0,0.0,2007-02-24
0.0,0.0,0.0,2007-02-25
0.0,0.0,0.0,2007-02-26
0.0,0.0,0.0,2007-02-27
0.0,0.0,0.0,2007-02-28
2.27,0.0,0.0,2007-01-03
0.0,0.0,0.0,2007-02-03
0.0,0.0,0.0,2007-03-03
0.0,0.0,0.0,2007-04-03
0.0,0.0,0.0,2007-05-03
0.0,0.0,0.0,2007-06-03
0.0,0.0,0.0,2007-07-03
0.0,0.25,0.27,2007-08-03
0.0,0.5,0.24,2007-09-03
0.1,0.21,0.07,2007-10-03
0.0,0.16,0.19,2007-11-03
0.58,3.57,1.02,2007-12-03
0.86,0.54,0.27,2007-03-13
0.22,0.04,0.12,2007-03-14
0.0,0.05,0.07,2007-03-15
0.0,0.0,0.0,2007-03-16
0.0,0.0,0.0,2007-03-17
0.0,0.0,0.0,2007-03-18
0.0,0.0,0.0,2007-03-19
0.0,0.0,0.0,2007-03-20
0.0,0.01,0.03,2007-03-21
0.0,0.63,0.31,2007-03-22
0.0,0.07,0.09,2007-03-23
0.0,0.39,0.19,2007-03-24
0.0,0.0,0.0,2007-03-25
0.0,0.0,0.0,2007-03-26
0.0,0.0,0.0,2007-03-27
0.0,0.0,0.0,2007-03-28
0.0,0.0,0.0,2007-03-29
0.0,0.0,0.0,2007-03-30
0.0,0.0,0.0,2007-03-31
0.0,0.0,0.0,2007-01-04
0.0,0.03,0.1,2007-02-04
0.0,0.36,0.31,2007-03-04
0.0,0.0,0.0,2007-04-04
0.0,0.0,0.0,2007-05-04
0.0,0.29,0.16,2007-06-04
0.0,0.9,0.49,2007-07-04
0.0,0.67,0.21,2007-08-04
0.0,5.19,0.78,2007-09-04
0.0,2.2,0.44,2007-10-04
0.0,0.4,0.25,2007-11-04
0.0,1.02,0.23,2007-12-04
0.0,0.84,0.3,2007-04-13
0.0,0.51,0.2,2007-04-14
0.0,1.67,0.4,2007-04-15
0.0,2.45,0.46,2007-04-16
0.0,1.65,0.53,2007-04-17
0.0,4.31,0.92,2007-04-18
0.0,3.82,0.72,2007-04-19
0.0,7.61,1.35,2007-04-20
0.0,5.63,0.77,2007-04-21
0.0,0.24,0.12,2007-04-22
0.0,0.07,0.08,2007-04-23
0.0,0.03,0.05,2007-04-24
0.0,0.0,0.0,2007-04-25
0.0,0.16,0.09,2007-04-26
0.0,0.37,0.18,2007-04-27
0.0,0.0,0.0,2007-04-28
0.0,2.8,0.55,2007-04-29
0.0,1.94,0.49,2007-04-30
1.75,1.91,0.61,2007-01-05
0.0,7.19,0.89,2007-02-05
0.0,1.33,0.6,2007-03-05
0.0,2.81,1.68,2007-04-05
26.14,0.84,0.35,2007-05-05
0.0,8.73,1.87,2007-06-05
0.0,7.01,0.96,2007-07-05
0.0,0.88,0.24,2007-08-05
0.45,0.12,0.17,2007-09-05
0.0,0.76,0.37,2007-10-05
0.0,0.99,0.25,2007-11-05
0.0,0.82,0.17,2007-12-05
0.0,1.72,0.41,2007-05-13
0.0,0.82,0.24,2007-05-14
0.0,0.37,0.21,2007-05-15
0.0,0.99,0.22,2007-05-16
0.0,0.87,0.21,2007-05-17
5.26,0.56,0.31,2007-05-18
0.92,0.34,0.23,2007-05-19
0.0,0.34,0.18,2007-05-20
0.0,0.21,0.13,2007-05-21
0.0,0.23,0.29,2007-05-22
0.0,0.48,0.15,2007-05-23
0.0,0.27,0.17,2007-05-24
0.0,0.04,0.04,2007-05-25
0.0,0.09,0.08,2007-05-26
0.0,2.01,0.44,2007-05-27
0.0,1.68,0.43,2007-05-28
0.0,0.27,0.13,2007-05-29
0.0,4.11,0.67,2007-05-30
0.0,6.64,0.61,2007-05-31
0.0,5.6,0.75,2007-01-06
0.0,1.46,0.33,2007-02-06
0.0,0.53,0.33,2007-03-06
0.0,0.44,0.19,2007-04-06
0.0,2.65,0.63,2007-05-06
0.0,0.64,0.22,2007-06-06
0.0,2.66,0.46,2007-07-06
0.0,1.88,0.74,2007-08-06
0.0,6.39,2.51,2007-09-06
0.0,5.3,1.52,2007-10-06
9.29,2.53,0.52,2007-11-06
4.36,10.48,12.1,2007-12-06
1.05,5.44,1.69,2007-06-15
0.7,0.21,0.28,2007-06-16
0.2,2.1,1.54,2007-06-17
13.89,2.16,1.2,2007-06-18
0.0,13.88,2.03,2007-06-21
4.45,14.02,2.81,2007-06-25
37.13,30.35,12.56,2007-06-26
68.39,21.21,4.54,2007-06-27
20.39,32.42,11.02,2007-06-28
17.07,65.8,40.49,2007-06-29
0.0,0.72,0.52,2007-03-07
0.0,0.2,0.23,2007-04-07
0.58,3.7,1.37,2007-05-07
0.0,38.34,29.29,2007-06-07
14.15,8.1,3.33,2007-07-07
1.26,0.5,0.38,2007-08-07
4.48,1.42,0.85,2007-09-07
9.72,6.63,1.45,2007-10-07
0.0,7.58,1.69,2007-11-07
0.0,9.56,1.53,2007-12-07
22.14,15.65,3.06,2007-07-13
52.72,72.8,58.54,2007-07-14
29.12,23.16,5.54,2007-07-15
45.24,4.28,1.74,2007-07-16
1.17,3.91,0.97,2007-07-17
2.52,2.22,0.84,2007-07-18
1.68,4.73,1.35,2007-07-19
3.82,13.59,2.9,2007-07-20
10.31,4.02,1.42,2007-07-21
1.05,8.89,2.1,2007-07-22
5.44,6.78,1.62,2007-07-23
0.0,7.4,1.72,2007-07-24
0.0,8.74,1.35,2007-07-25
0.0,13.43,3.26,2007-07-26
0.0,17.97,4.13,2007-07-27
1.47,16.41,6.32,2007-07-28
0.0,7.44,2.69,2007-07-29
3.03,9.58,2.02,2007-07-30
0.0,9.67,1.22,2007-07-31
0.0,14.46,5.88,2007-01-08
8.88,13.51,4.48,2007-02-08
5.12,13.7,3.44,2007-03-08
0.72,6.64,1.47,2007-04-08
0.0,22.96,9.65,2007-05-08
93.74,58.92,18.52,2007-06-08
130.81,4.07,1.4,2007-07-08
1.47,0.41,0.33,2007-08-08
0.0,3.68,0.79,2007-09-08
0.0,19.35,3.97,2007-10-08
27.81,39.86,14.35,2007-11-08
127.34,15.99,8.23,2007-12-08
43.87,28.85,6.42,2007-08-13
5.37,6.42,0.99,2007-08-14
0.0,0.46,0.29,2007-08-15
0.3,1.52,0.53,2007-08-16
0.0,3.18,1.26,2007-08-17
0.0,5.77,1.94,2007-08-18
1.71,7.07,1.79,2007-08-19
0.0,15.69,5.07,2007-08-20
0.93,5.07,2.09,2007-08-21
1.17,7.81,1.9,2007-08-22
6.02,8.41,1.61,2007-08-23
0.0,9.06,1.94,2007-08-24
0.0,5.58,0.95,2007-08-25
0.0,8.05,3.0,2007-08-26
0.0,8.51,2.28,2007-08-27
5.25,13.11,2.15,2007-08-28
0.0,6.94,1.36,2007-08-29
3.88,12.3,2.72,2007-08-30
0.0,12.5,3.61,2007-08-31
8.91,13.35,3.46,2007-01-09
1.79,10.87,2.09,2007-02-09
9.07,5.11,4.34,2007-03-09
12.31,16.3,5.6,2007-04-09
4.12,10.83,3.3,2007-05-09
16.38,39.89,23.41,2007-06-09
20.77,2.83,0.85,2007-07-09
0.32,10.28,4.11,2007-08-09
31.84,9.1,1.52,2007-09-09
13.72,6.48,1.04,2007-10-09
3.13,0.82,0.69,2007-11-09
2.86,6.28,1.01,2007-12-09
17.96,6.42,1.12,2007-09-13
12.47,10.4,1.39,2007-09-14
6.62,12.9,1.49,2007-09-15
2.82,8.2,1.3,2007-09-16
0.0,4.07,1.07,2007-09-17
1.77,8.24,1.11,2007-09-18
5.25,3.64,1.19,2007-09-19
0.0,12.22,1.97,2007-09-20
8.31,16.26,3.65,2007-09-21
20.17,24.34,8.37,2007-09-22
31.55,35.49,15.5,2007-09-23
27.4,6.07,1.36,2007-09-24
0.0,8.79,2.45,2007-09-25
0.0,18.16,18.61,2007-09-26
29.88,7.57,1.21,2007-09-27
0.0,1.41,1.52,2007-09-28
0.0,8.33,2.32,2007-09-29
7.57,14.75,2.68,2007-09-30
0.84,14.23,5.17,2007-01-10
3.88,18.09,3.68,2007-02-10
5.95,13.16,1.78,2007-03-10
15.91,10.21,1.8,2007-04-10
1.17,4.01,1.69,2007-05-10
10.62,17.42,6.88,2007-06-10
1.99,10.86,0.99,2007-07-10
1.04,0.0,0.0,2007-08-10
0.0,0.12,0.08,2007-09-10
0.0,0.0,0.0,2007-10-10
0.0,0.24,0.05,2007-11-10
0.0,0.0,0.0,2007-12-10
0.0,0.0,0.0,2007-10-13
0.0,0.0,0.0,2007-10-14
0.0,0.0,0.0,2007-10-15
0.0,0.0,0.01,2007-10-16
0.0,3.32,2.29,2007-10-17
0.0,7.15,0.97,2007-10-18
0.0,2.77,0.89,2007-10-19
0.0,0.7,0.18,2007-10-20
0.0,0.0,0.0,2007-10-21
0.0,0.0,0.0,2007-10-22
0.0,0.0,0.0,2007-10-23
0.0,0.0,0.0,2007-10-24
0.0,0.0,0.0,2007-10-25
0.0,0.0,0.0,2007-10-26
0.0,0.0,0.0,2007-10-27
0.0,0.0,0.0,2007-10-28
0.0,0.0,0.02,2007-10-29
0.0,11.82,5.6,2007-10-30
0.0,1.71,1.07,2007-10-31
0.0,0.02,0.04,2007-01-11
0.0,2.92,0.64,2007-02-11
0.0,7.72,2.23,2007-03-11
0.0,6.02,1.0,2007-04-11
0.0,0.0,0.0,2007-05-11
0.0,0.0,0.0,2007-06-11
0.0,0.0,0.0,2007-07-11
0.0,0.0,0.0,2007-08-11
0.0,0.0,0.0,2007-11-11
0.0,0.02,0.05,2007-12-11
0.0,0.0,0.0,2007-11-13
0.0,0.0,0.0,2007-11-14
0.0,0.0,0.0,2007-11-15
0.0,0.02,0.01,2007-11-16
0.0,0.0,0.0,2007-11-17
0.0,0.0,0.0,2007-11-18
0.0,0.03,0.03,2007-11-19
0.0,0.0,0.0,2007-11-20
0.0,0.0,0.0,2007-11-21
0.0,0.0,0.0,2007-11-22
0.0,0.0,0.0,2007-11-23
0.0,0.0,0.0,2007-11-24
0.0,0.0,0.0,2007-11-25
0.0,0.0,0.0,2007-11-26
0.0,0.0,0.0,2007-11-27
0.0,0.0,0.0,2007-11-28
0.0,0.0,0.0,2007-11-29
0.0,0.0,0.0,2007-11-30
0.0,0.0,0.0,2007-01-12
0.0,0.0,0.0,2007-02-12
0.0,0.0,0.0,2007-03-12
0.0,0.0,0.0,2007-04-12
0.0,0.0,0.0,2007-05-12
0.0,0.0,0.0,2007-06-12
0.0,0.01,0.01,2007-08-12
0.0,0.01,0.01,2007-09-12
0.0,0.0,0.0,2007-10-12
0.0,0.0,0.0,2007-11-12
0.0,0.0,0.01,2007-12-12
0.0,0.0,0.0,2007-12-13
